Dataset,Exact Edge Density,Charikar Quality %,Greedy++ Quality %,Charikar Runtime,Greedy++ Runtime,Goldberg E2E Runtime,Exact Triangle Density,Triangle Solver Mode
ca-netscience,4.0,100.0,100.0,0.024531991999992897,0.151099046000013,0.04687458900002639,9.333333333333334,maxflow_binary_search
ca-CSphd,1.5,83.33333333333334,100.0,0.030201404999843362,0.7140636749998066,0.07428646899984415,0.6666666666666666,maxflow_binary_search
ca-GrQc,22.391304347826086,100.0,100.0,0.0641842469999574,2.967600632000085,0.1832547839999279,325.3478260869565,maxflow_binary_search
ca-HepTh,119.0,100.0,100.0,0.5860188259998722,9.132268729000089,0.8807125159999032,9401.0,complete_core_certificate
ca-dblp-2012,56.56521739130435,99.8847040737894,100.0,8.14525535000007,277.386614367,10.993044903000055,2109.3333333333335,upper_bound_certificate
